depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,num_demands,num_cancellation_demands,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap,filter_demand,optimizer_constructor
VLP Ludwigslust,2025-06-01,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES,1.0,Optimal,0.20133209228515625,27,36,59,0,33417.099086999915,6764.537133541647,0.07992220574955931,0.0,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,1.0,Optimal,0.0032219886779785156,8,36,59,0,8149.011588292578,3160.14125336224,0.4754698401355369,0.0,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,1.0,Optimal,0.0031850337982177734,8,36,59,0,7169.802844794618,3709.6289268142345,1.0505159465735472,0.0,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT,ALL_LINES,1.0,TIME_LIMIT,600.733705997467,0,72,419,0,0.0,0.0,0.0,1.0e100,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,1.0,Optimal,117.5110399723053,9,72,113,0,9425.744086907493,3747.09705141006,0.6415300346301446,0.0,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT,ONLY_DEMAND,1.0,Optimal,18.262281894683838,8,72,59,0,7172.26143349868,3476.3865134342923,1.1138826362329646,0.0,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES,1.0,INFEASIBLE_OR_UNBOUNDED,0.5783360004425049,0,102,419,0,0.0,0.0,0.0,,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES_WITH_DEMAND,1.0,INFEASIBLE_OR_UNBOUNDED,0.08211994171142578,0,102,113,0,0.0,0.0,0.0,,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,1.0,INFEASIBLE_OR_UNBOUNDED,0.014513969421386719,0,102,59,0,0.0,0.0,0.0,,true,Gurobi.Optimizer
VLP Ludwigslust,2025-06-01,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES,1.0,INFEASIBLE_OR_UNBOUNDED,0.07624387741088867,0,20,419,0,0.0,0.0,0.0,,true,Gurobi.Optimizer
