depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Boizenburg,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,68,68,0,1.0,14,102,18.24440336227417,4709.920951910341,2066.034315492733,1.3913838975230917,68,37,31,0.5441176470588235,Gurobi.Optimizer
VLP Boizenburg,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,109,0,1.0,26,102,55.998541593551636,6925.200000948924,2659.914169166386,1.2398770826925642,109,47,62,0.43119266055045874,Gurobi.Optimizer
VLP Boizenburg,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,83,83,0,1.0,21,102,37.83452749252319,5978.04806529626,2276.280357575408,1.0148540055217925,83,44,39,0.5301204819277109,Gurobi.Optimizer
VLP Boizenburg,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,78,0,1.0,19,102,49.72820591926575,5828.48127464604,2559.2309679682644,1.08108014803462,78,43,35,0.5512820512820513,Gurobi.Optimizer
VLP Boizenburg,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,71,71,0,1.0,18,102,27.34994125366211,4950.732285888516,1944.0930588568488,1.0576134985918157,71,47,24,0.6619718309859155,Gurobi.Optimizer
VLP Boizenburg,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,105,105,0,1.0,22,102,71.22024011611938,6166.823738379395,2300.2590482365385,1.3471536725961846,105,60,45,0.5714285714285714,Gurobi.Optimizer
VLP Boizenburg,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,92,91,1,0.9891304347826086,17,102,33.78850340843201,4854.625370956501,1639.9662845716418,1.195925392691765,92,53,39,0.5760869565217391,Gurobi.Optimizer
VLP Boizenburg,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,54,54,0,1.0,14,102,13.462095499038696,3139.9062318619244,1246.4838833036404,1.1608683690221109,54,35,19,0.6481481481481481,Gurobi.Optimizer
VLP Boizenburg,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,57,57,0,1.0,13,102,14.185791254043579,3283.49250726048,1245.169870714628,1.0734741600608706,57,37,20,0.6491228070175439,Gurobi.Optimizer
VLP Boizenburg,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,106,106,0,1.0,16,102,74.65413045883179,5923.120312740338,2126.506830302798,1.1415502638629003,106,60,46,0.5660377358490566,Gurobi.Optimizer
VLP Boizenburg,2025-06-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,96,96,0,1.0,17,102,79.50962781906128,5623.531884004423,2149.5363405552316,1.221597943097734,96,65,31,0.6770833333333334,Gurobi.Optimizer
VLP Boizenburg,2025-06-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,103,103,0,1.0,20,102,76.08569717407227,5678.202831309834,2201.1487095215125,1.2772801729784566,103,54,49,0.5242718446601942,Gurobi.Optimizer
VLP Boizenburg,2025-06-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,99,0,1.0,18,102,69.95263528823853,4947.097453166934,1692.273288975527,1.2674930976673302,99,56,42,0.5714285714285714,Gurobi.Optimizer
VLP Boizenburg,2025-06-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,85,0,1.0,15,102,29.829878330230713,4426.701072552035,1600.4135023180893,1.1910337653283711,85,41,44,0.4823529411764706,Gurobi.Optimizer
VLP Boizenburg,2025-06-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,65,65,0,1.0,12,102,23.426875591278076,3384.2478512000816,1461.622805178191,1.0487193427383346,65,39,26,0.6,Gurobi.Optimizer
VLP Boizenburg,2025-06-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,90,88,2,0.9777777777777777,21,102,50.72668766975403,5665.228129837317,2254.038268573254,1.1125265609887192,90,46,44,0.5111111111111111,Gurobi.Optimizer
VLP Boizenburg,2025-06-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,83,82,1,0.9879518072289156,14,102,42.30559539794922,4884.289563685817,2095.8251556277596,1.327776897817945,83,47,36,0.5662650602409639,Gurobi.Optimizer
VLP Boizenburg,2025-06-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,74,73,1,0.9864864864864865,20,102,25.88462471961975,5088.963380481159,1856.5039298065606,1.0831226345982747,74,41,33,0.5540540540540541,Gurobi.Optimizer
VLP Boizenburg,2025-06-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,85,0,1.0,18,102,47.62680387496948,5840.927592098484,2396.3763163466747,1.2597138967331494,85,36,49,0.4235294117647059,Gurobi.Optimizer
VLP Boizenburg,2025-06-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,88,87,1,0.9886363636363636,20,102,30.27975821495056,5333.8477371226145,1923.3014033173708,1.2411674313949042,88,43,45,0.48863636363636365,Gurobi.Optimizer
VLP Boizenburg,2025-06-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,90,90,0,1.0,19,102,45.94222354888916,5249.302801762813,1890.8026441529246,1.1110916946348093,90,47,43,0.5222222222222223,Gurobi.Optimizer
