depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Boizenburg,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,93,43,25,4,21,25,0.6323529411764706,8,18,6.427768707275391,2337.2220252648694,765.6071415056202,1.400365626185513,114,37,31,0.5441176470588235,Gurobi.Optimizer
VLP Boizenburg,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,137,59,50,8,20,28,0.5412844036697247,9,18,11.170069694519043,3154.2667370000586,1169.4548939624756,1.3275992632896394,157,47,62,0.43119266055045874,Gurobi.Optimizer
VLP Boizenburg,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,105,48,35,4,18,22,0.5783132530120482,9,18,6.834202766418457,3161.9071060188376,1332.7680976029383,1.0482398768396395,123,44,39,0.5301204819277109,Gurobi.Optimizer
VLP Boizenburg,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,97,49,29,4,15,19,0.6282051282051282,9,18,9.843189239501953,3237.6264196678767,1317.361736888222,1.0351361187581376,112,43,35,0.5512820512820513,Gurobi.Optimizer
VLP Boizenburg,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,97,45,26,4,22,26,0.6338028169014085,8,18,9.580387830734253,2966.371529794165,1366.9707935397723,1.0519973661278463,119,47,24,0.6619718309859155,Gurobi.Optimizer
VLP Boizenburg,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,142,46,59,14,23,37,0.4380952380952381,0,18,20.44022250175476,0.0,0.0,0.0,165,60,45,0.5714285714285714,Gurobi.Optimizer
VLP Boizenburg,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,126,59,33,9,25,34,0.6413043478260869,9,18,6.698446989059448,2762.8203052281287,1077.9756255808384,1.2374625429747563,151,53,39,0.5760869565217391,Gurobi.Optimizer
VLP Boizenburg,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,95,41,13,6,35,41,0.7592592592592593,7,18,9.650401830673218,2149.0959279655217,1074.5422337232371,1.0762186885833522,130,35,19,0.6481481481481481,Gurobi.Optimizer
VLP Boizenburg,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,92,44,13,9,26,35,0.7719298245614035,9,18,7.500419855117798,2310.704628089102,979.0078567542761,1.0635453941755892,118,37,20,0.6491228070175439,Gurobi.Optimizer
VLP Boizenburg,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,149,54,52,20,23,43,0.5094339622641509,0,18,28.920806407928467,0.0,0.0,0.0,172,60,46,0.5660377358490566,Gurobi.Optimizer
VLP Boizenburg,2025-06-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,118,65,31,5,17,22,0.6770833333333334,9,18,15.139290809631348,3294.4229217944776,1040.5040690454118,1.2418908407470595,135,65,31,0.6770833333333334,Gurobi.Optimizer
VLP Boizenburg,2025-06-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,129,71,32,8,18,26,0.6893203883495146,9,18,11.090169429779053,3341.1762533106494,1273.77604113787,1.2463481390926738,147,54,49,0.5242718446601942,Gurobi.Optimizer
VLP Boizenburg,2025-06-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,139,67,31,8,33,41,0.6836734693877551,9,18,14.805006265640259,2883.3091405243385,1132.9733506692876,1.3325119148835425,172,56,42,0.5714285714285714,Gurobi.Optimizer
VLP Boizenburg,2025-06-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,128,56,29,5,38,43,0.6588235294117647,9,18,16.63976526260376,2641.9545052016174,887.0024166316516,1.4503040317361782,166,41,44,0.4823529411764706,Gurobi.Optimizer
VLP Boizenburg,2025-06-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,92,50,15,6,21,27,0.7692307692307693,9,18,12.25226879119873,2541.1375466312957,1052.2271260331622,1.0281715618741012,113,39,26,0.6,Gurobi.Optimizer
VLP Boizenburg,2025-06-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,114,55,35,5,19,24,0.6111111111111112,9,18,8.746845483779907,2888.9606273677673,1037.6827687224406,1.1968493997105836,133,46,44,0.5111111111111111,Gurobi.Optimizer
