depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Hagenow,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,78,0,0,29,29,1.0,17,102,131.94237446784973,5518.880122893867,2065.591947511615,0.9557872929129521,136,40,38,0.5128205128205128,Gurobi.Optimizer
VLP Hagenow,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,108,79,0,0,29,29,1.0,18,102,102.68502593040466,5740.743627472691,2435.0643098323953,1.0234066074582364,137,37,42,0.46835443037974683,Gurobi.Optimizer
VLP Hagenow,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,143,114,1,0,28,28,0.991304347826087,21,102,187.14103770256042,6589.11453894989,2326.298802817271,1.254625057492401,171,55,60,0.4782608695652174,Gurobi.Optimizer
VLP Hagenow,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,113,88,0,0,25,25,1.0,19,102,119.13007497787476,6280.59123241467,2716.0786539070414,1.189738103706603,138,52,36,0.5909090909090909,Gurobi.Optimizer
VLP Hagenow,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,111,87,0,0,24,24,1.0,21,102,149.21859979629517,6124.706488731677,2470.3427691919646,0.9780786917762319,135,41,46,0.47126436781609193,Gurobi.Optimizer
VLP Hagenow,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,168,128,0,0,40,40,1.0,27,102,274.54915165901184,8328.819258289663,3193.4353302621244,1.1119209704773112,208,62,66,0.484375,Gurobi.Optimizer
VLP Hagenow,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,132,93,0,0,39,39,1.0,22,102,132.12205481529236,6205.813059037692,2766.0388143464293,1.1328055317892087,171,46,47,0.4946236559139785,Gurobi.Optimizer
VLP Hagenow,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,122,76,1,0,45,45,0.987012987012987,21,102,129.7068223953247,5325.791957943784,2122.9180091415637,1.0595970839981026,167,44,33,0.5714285714285714,Gurobi.Optimizer
VLP Hagenow,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,97,60,0,0,37,37,1.0,16,102,54.20788240432739,4482.932598101408,2101.5465021262708,1.051780416283996,134,35,25,0.5833333333333334,Gurobi.Optimizer
VLP Hagenow,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,134,101,0,0,33,33,1.0,25,102,133.54913759231567,6714.505828989747,2294.9041545915243,1.2126562751827048,167,47,54,0.46534653465346537,Gurobi.Optimizer
