depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Hagenow,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,78,59,19,0.7564102564102564,10,20,4.979007720947266,3534.412540996009,1277.7393616359077,0.8846887145370512,78,40,38,0.5128205128205128,Gurobi.Optimizer
VLP Hagenow,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,79,58,21,0.7341772151898734,10,20,5.314462184906006,3797.1934133795385,1313.5760643295107,1.0251896271037824,79,37,42,0.46835443037974683,Gurobi.Optimizer
VLP Hagenow,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,115,69,46,0.6,10,20,12.374238014221191,3338.72291335099,1093.8239678893503,1.2737508575389556,115,55,60,0.4782608695652174,Gurobi.Optimizer
VLP Hagenow,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,88,58,30,0.6590909090909091,10,20,7.377037763595581,3682.8270067679186,1368.62308884561,1.1120742317434364,88,52,36,0.5909090909090909,Gurobi.Optimizer
VLP Hagenow,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,87,53,34,0.6091954022988506,10,20,7.7960896492004395,3311.469605075763,1072.8463781067946,0.9459101025137203,87,41,46,0.47126436781609193,Gurobi.Optimizer
VLP Hagenow,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,128,72,56,0.5625,10,20,14.417951822280884,3715.834972527287,1132.2697367337128,1.0950533036095782,128,62,66,0.484375,Gurobi.Optimizer
VLP Hagenow,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,93,70,23,0.7526881720430108,10,20,6.539189100265503,3834.22301324524,1489.3095308119564,1.0567784903474036,93,46,47,0.4946236559139785,Gurobi.Optimizer
VLP Hagenow,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,77,52,25,0.6753246753246753,9,20,4.122213363647461,3079.7487681902476,1040.5142902175871,1.0637754312605747,77,44,33,0.5714285714285714,Gurobi.Optimizer
VLP Hagenow,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,60,48,12,0.8,10,20,1.7543115615844727,3357.9288625874487,1367.6420053664447,1.0008624575800529,60,35,25,0.5833333333333334,Gurobi.Optimizer
VLP Hagenow,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,101,69,32,0.6831683168316832,10,20,8.535821676254272,3778.9017053986986,1285.7256241823243,1.179140278036479,101,47,54,0.46534653465346537,Gurobi.Optimizer
