depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Ludwigslust,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,77,38,30,9,18,0.5588235294117647,9,20,2.580460548400879,3193.6885534780777,973.0587337852867,0.9981030615689588,86,34,25,0.576271186440678,Gurobi.Optimizer
VLP Ludwigslust,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,98,49,40,9,19,0.550561797752809,10,20,8.694166421890259,3360.0681622827315,1347.4467461548647,1.0855777777074096,107,29,50,0.3670886075949367,Gurobi.Optimizer
VLP Ludwigslust,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,127,41,68,18,30,0.3761467889908257,0,20,22.935950756072998,0.0,0.0,0.0,145,44,53,0.4536082474226804,Gurobi.Optimizer
VLP Ludwigslust,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,128,52,60,16,28,0.4642857142857143,10,20,23.483271598815918,3284.1425922813146,1108.625716005622,1.0513857281265924,144,49,51,0.49,Gurobi.Optimizer
VLP Ludwigslust,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,138,57,68,13,24,0.456,10,20,18.99107027053833,3589.220028215623,862.6757442397877,1.0833826001895417,151,46,68,0.40350877192982454,Gurobi.Optimizer
VLP Ludwigslust,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,174,62,91,21,42,0.40522875816993464,10,20,28.913289785385132,3539.1393078595156,1025.2240518384197,1.3671909945634484,195,55,77,0.4166666666666667,Gurobi.Optimizer
VLP Ludwigslust,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,128,45,70,13,30,0.391304347826087,9,20,14.681106090545654,3221.7839910063394,1097.4487842808758,1.169832357508854,141,47,51,0.47959183673469385,Gurobi.Optimizer
VLP Ludwigslust,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,59,27,18,14,22,0.6,9,20,2.6022534370422363,2825.667943548344,1213.4481735901195,0.9442372567372568,73,29,8,0.7837837837837838,Gurobi.Optimizer
VLP Ludwigslust,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,68,27,29,12,19,0.48214285714285715,8,20,1.1903254985809326,2454.1020146207375,841.5295745909509,1.1317296449807261,80,25,24,0.5102040816326531,Gurobi.Optimizer
VLP Ludwigslust,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,128,69,49,10,18,0.5847457627118644,10,20,15.551465034484863,3871.531968766949,1125.1608667689493,1.2030183093282634,138,52,58,0.4727272727272727,Gurobi.Optimizer
