depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Parchim,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,116,87,1,28,30,0.9886363636363636,24,102,60.48177194595337,6726.214054160757,2131.9789587393343,1.097959053927766,144,44,42,0.5116279069767442,Gurobi.Optimizer
VLP Parchim,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,153,110,2,41,44,0.9821428571428571,22,102,295.0189106464386,7209.523488255002,2310.2154452816626,1.1315663527997992,194,64,45,0.5871559633027523,Gurobi.Optimizer
VLP Parchim,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,157,128,0,29,32,1.0,23,102,459.01988768577576,8188.90153775789,2509.4178191583637,1.131015051764239,186,67,58,0.536,Gurobi.Optimizer
VLP Parchim,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,140,115,0,25,26,1.0,24,102,156.6167709827423,7934.940934093064,2974.1886816477504,1.0311111916392934,165,60,54,0.5263157894736842,Gurobi.Optimizer
VLP Parchim,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,143,112,2,29,31,0.9824561403508771,24,102,176.7910659313202,7642.8040375156115,2578.0160466654133,0.9855215089914714,172,57,55,0.5089285714285714,Gurobi.Optimizer
VLP Parchim,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,182,140,3,39,45,0.9790209790209791,26,102,308.33153915405273,8736.04652479823,2978.7469398273915,1.1379024262624389,221,77,60,0.5620437956204379,Gurobi.Optimizer
VLP Parchim,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,163,120,4,39,41,0.967741935483871,24,102,267.13902735710144,8113.587609234691,2874.0041616869826,1.0811961174449956,202,60,62,0.4918032786885246,Gurobi.Optimizer
VLP Parchim,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,66,3,22,26,0.9565217391304348,19,102,64.89642858505249,4541.947190383592,1311.14264136017,1.1147870352390132,113,41,24,0.6307692307692307,Gurobi.Optimizer
VLP Parchim,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,106,67,0,39,40,1.0,17,102,115.59112310409546,5049.77135213436,1762.0896119243566,1.06425513215107,145,41,25,0.6212121212121212,Gurobi.Optimizer
VLP Parchim,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,184,148,2,34,35,0.9866666666666667,27,102,683.8413445949554,9620.127283488826,3242.485312443447,1.1271831637800145,218,84,65,0.5637583892617449,Gurobi.Optimizer
VLP Parchim,2025-06-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,144,110,2,32,33,0.9821428571428571,22,102,186.5187075138092,7237.5022725673225,2446.577417987528,1.101842675852957,176,52,59,0.46846846846846846,Gurobi.Optimizer
VLP Parchim,2025-06-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,154,126,0,28,30,1.0,25,102,408.2481391429901,7784.92682936906,2531.614148783095,1.0523257338209926,182,57,67,0.4596774193548387,Gurobi.Optimizer
VLP Parchim,2025-06-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,171,129,4,38,41,0.9699248120300752,27,102,231.39663815498352,9100.699430163686,3417.4664531315684,1.0836122838214284,209,57,73,0.43846153846153846,Gurobi.Optimizer
VLP Parchim,2025-06-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,138,96,1,41,43,0.9896907216494846,23,102,151.06016755104065,7563.40316311805,2893.798921834075,1.1321836034491823,179,52,43,0.5473684210526316,Gurobi.Optimizer
VLP Parchim,2025-06-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,102,74,1,27,28,0.9866666666666667,18,102,64.75834012031555,5501.367148571086,1830.0739066995484,1.2654391385181991,129,46,28,0.6216216216216216,Gurobi.Optimizer
VLP Parchim,2025-06-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,163,130,1,32,33,0.9923664122137404,24,102,378.5525848865509,8093.4591775244935,2616.3208462033954,1.0756687035897905,195,78,52,0.6,Gurobi.Optimizer
VLP Parchim,2025-06-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,167,133,1,33,34,0.9925373134328358,28,102,1025.0123076438904,8494.970418146328,2706.1600916150687,1.1341460249555442,200,64,69,0.48120300751879697,Gurobi.Optimizer
VLP Parchim,2025-06-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,149,117,1,31,33,0.9915254237288136,26,102,212.0168435573578,8301.247880488187,3413.50885980719,1.0442741084826657,180,67,49,0.5775862068965517,Gurobi.Optimizer
VLP Parchim,2025-06-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,155,124,0,31,31,1.0,0,102,206.22814011573792,0.0,0.0,0.0,186,65,59,0.5241935483870968,Gurobi.Optimizer
VLP Parchim,2025-06-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,145,105,0,40,42,1.0,22,102,365.45275497436523,7534.934230338153,2599.3179655086747,1.0671898277101115,185,63,40,0.6116504854368932,Gurobi.Optimizer
