depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Parchim,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,116,41,45,11,19,30,0.47674418604651164,8,18,5.316860198974609,2755.384982426235,975.7567852603236,1.3802870370370373,135,44,42,0.5116279069767442,Gurobi.Optimizer
VLP Parchim,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,153,36,73,26,18,44,0.3302752293577982,0,18,27.012174367904663,0.0,0.0,0.0,171,64,45,0.5871559633027523,Gurobi.Optimizer
VLP Parchim,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,157,57,68,18,14,32,0.456,9,18,15.79326319694519,3179.5709886165396,953.1040281085957,1.0758823252737753,171,67,58,0.536,Gurobi.Optimizer
VLP Parchim,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,140,56,58,7,19,26,0.49122807017543857,8,18,9.933281898498535,3150.817616874383,1080.676166476512,1.0800717363709444,159,60,54,0.5263157894736842,Gurobi.Optimizer
VLP Parchim,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,143,53,59,12,19,31,0.4732142857142857,9,18,9.84348464012146,3310.453739305971,1165.4148971816135,0.984847038010505,162,57,55,0.5089285714285714,Gurobi.Optimizer
VLP Parchim,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,182,56,81,26,19,45,0.40875912408759124,0,18,20.04727005958557,0.0,0.0,0.0,201,77,60,0.5620437956204379,Gurobi.Optimizer
VLP Parchim,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,163,58,64,14,27,41,0.47540983606557374,8,18,15.266554594039917,3140.134506059082,1108.1074087149764,1.1394564914543406,190,60,62,0.4918032786885246,Gurobi.Optimizer
VLP Parchim,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,91,36,29,13,13,26,0.5538461538461539,8,18,4.819781303405762,2690.416481164106,930.0061519684236,0.9704210264308701,104,41,24,0.6307692307692307,Gurobi.Optimizer
VLP Parchim,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,106,31,35,13,27,40,0.4696969696969697,9,18,10.318302631378174,2388.195604671188,864.4105909512866,1.0715385331891416,133,41,25,0.6212121212121212,Gurobi.Optimizer
VLP Parchim,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,184,62,87,9,26,35,0.4161073825503356,9,18,21.589478254318237,3362.3187257180407,1030.6616094688998,1.1576235445384127,210,84,65,0.5637583892617449,Gurobi.Optimizer
VLP Parchim,2025-06-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,144,58,53,7,26,33,0.5225225225225225,9,18,17.697309732437134,3068.6395103088407,1132.671627747924,1.1855882139495875,170,52,59,0.46846846846846846,Gurobi.Optimizer
VLP Parchim,2025-06-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,154,60,64,12,18,30,0.4838709677419355,9,18,18.777184009552002,3187.884874890117,1028.0272854312902,1.0560866641712763,172,57,67,0.4596774193548387,Gurobi.Optimizer
VLP Parchim,2025-06-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,171,59,71,21,20,41,0.45384615384615384,0,18,12.73223090171814,0.0,0.0,0.0,191,57,73,0.43846153846153846,Gurobi.Optimizer
VLP Parchim,2025-06-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,138,47,48,19,24,43,0.49473684210526314,0,18,16.553329944610596,0.0,0.0,0.0,162,52,43,0.5473684210526316,Gurobi.Optimizer
VLP Parchim,2025-06-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,102,38,36,10,18,28,0.5135135135135135,8,18,8.410117149353027,2662.893645381569,900.1663293485142,1.154013470794265,120,46,28,0.6216216216216216,Gurobi.Optimizer
VLP Parchim,2025-06-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,163,57,73,14,19,33,0.43846153846153846,0,18,15.465253829956055,0.0,0.0,0.0,182,78,52,0.6,Gurobi.Optimizer
VLP Parchim,2025-06-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,167,59,74,14,20,34,0.44360902255639095,9,18,24.015252351760864,3145.2891824805547,956.597210866249,1.2053268985833032,187,64,69,0.48120300751879697,Gurobi.Optimizer
VLP Parchim,2025-06-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,149,35,81,18,15,33,0.3017241379310345,0,18,22.513066053390503,0.0,0.0,0.0,164,67,49,0.5775862068965517,Gurobi.Optimizer
VLP Parchim,2025-06-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,155,59,65,10,21,31,0.47580645161290325,0,18,22.066422939300537,0.0,0.0,0.0,176,65,59,0.5241935483870968,Gurobi.Optimizer
VLP Parchim,2025-06-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,145,50,53,16,26,42,0.4854368932038835,9,18,18.54075312614441,3091.3145672386618,1034.3326354794212,1.1420179642059722,171,63,40,0.6116504854368932,Gurobi.Optimizer
VLP Parchim,2025-06-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,126,43,51,13,19,32,0.4574468085106383,0,18,9.845035791397095,0.0,0.0,0.0,145,54,40,0.574468085106383,Gurobi.Optimizer
VLP Parchim,2025-06-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,95,41,32,7,15,22,0.5616438356164384,8,18,7.1921796798706055,2575.017434247773,726.3783924229487,0.9874067071374252,110,43,30,0.589041095890411,Gurobi.Optimizer
VLP Parchim,2025-06-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,162,49,68,22,23,45,0.4188034188034188,9,18,17.197690963745117,3080.2925858266235,899.6446842438933,1.0670556074983384,185,60,57,0.5128205128205128,Gurobi.Optimizer
VLP Parchim,2025-06-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,157,44,76,16,21,37,0.36666666666666664,9,18,22.11046862602234,3188.8039863836925,916.0755902967616,0.902419177296328,178,68,52,0.5666666666666667,Gurobi.Optimizer
VLP Parchim,2025-06-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,172,62,71,24,15,39,0.46616541353383456,9,18,18.46584725379944,3317.8806700367295,1090.6500089523524,1.1651028624041484,187,75,58,0.5639097744360902,Gurobi.Optimizer
VLP Parchim,2025-06-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,167,57,72,16,22,38,0.4418604651162791,9,18,15.341846942901611,3210.9234846932814,979.8798070598892,1.106669368811495,189,75,54,0.5813953488372093,Gurobi.Optimizer
VLP Parchim,2025-06-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,157,32,85,28,12,40,0.27350427350427353,0,18,15.453121185302734,0.0,0.0,0.0,169,62,55,0.5299145299145299,Gurobi.Optimizer
VLP Parchim,2025-06-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,141,59,59,13,10,23,0.5,8,18,10.394557237625122,3184.0541274222574,1064.9149850957174,1.0038198174923691,151,56,62,0.4745762711864407,Gurobi.Optimizer
VLP Parchim,2025-06-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,107,43,38,12,14,26,0.5308641975308642,9,18,7.095101833343506,3097.4854739270186,936.6512619130077,1.1929028727849904,121,45,36,0.5555555555555556,Gurobi.Optimizer
VLP Parchim,2025-06-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,161,52,73,16,20,36,0.416,9,18,19.457898139953613,3383.642284559263,959.553015835689,0.9201889086474383,181,73,52,0.584,Gurobi.Optimizer
VLP Parchim,2025-07-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,151,63,57,12,19,31,0.525,9,18,11.64156460762024,3354.4400602335727,1005.0549154847381,1.0584122412709278,170,60,60,0.5,Gurobi.Optimizer
VLP Parchim,2025-07-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,144,54,51,15,24,39,0.5142857142857142,9,18,15.014875650405884,3067.491965969274,1049.0250466311547,0.9831443294453082,168,53,52,0.5047619047619047,Gurobi.Optimizer
VLP Parchim,2025-07-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,159,56,68,22,13,35,0.45161290322580644,0,18,17.17743468284607,0.0,0.0,0.0,172,62,62,0.5,Gurobi.Optimizer
VLP Parchim,2025-07-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,151,55,65,16,15,31,0.4583333333333333,9,18,15.867027521133423,3040.339011106467,810.9424366030652,1.024285693095389,166,53,67,0.44166666666666665,Gurobi.Optimizer
VLP Parchim,2025-07-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,149,62,57,9,21,30,0.5210084033613446,8,18,12.311415195465088,3137.04953865297,1134.6226432573237,1.4010881223940976,170,49,70,0.4117647058823529,Gurobi.Optimizer
VLP Parchim,2025-07-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,100,22,52,18,8,26,0.2972972972972973,0,18,6.753954172134399,0.0,0.0,0.0,108,35,39,0.47297297297297297,Gurobi.Optimizer
VLP Parchim,2025-07-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,137,62,49,10,16,26,0.5585585585585585,9,18,15.703987836837769,3111.226195556056,944.7567881789441,1.2741262995580727,153,61,50,0.5495495495495496,Gurobi.Optimizer
VLP Parchim,2025-07-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,139,57,54,11,17,28,0.5135135135135135,9,18,13.013405799865723,3041.4506746907964,877.1828097919065,1.1081343305748383,156,57,54,0.5135135135135135,Gurobi.Optimizer
VLP Parchim,2025-07-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,143,53,52,20,18,38,0.5047619047619047,9,18,13.1580491065979,3102.2753722107013,946.6552741094,0.9753567708049551,161,59,46,0.5619047619047619,Gurobi.Optimizer
VLP Parchim,2025-07-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,156,54,71,10,21,31,0.432,9,18,13.287268161773682,3227.8498524167853,1164.49074218721,1.035662299112007,177,65,60,0.52,Gurobi.Optimizer
VLP Parchim,2025-07-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,163,41,76,32,14,46,0.3504273504273504,0,18,36.879480838775635,0.0,0.0,0.0,177,71,46,0.6068376068376068,Gurobi.Optimizer
