depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Schwerin,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,66,57,0,0,9,9,1.0,13,102,24.605517148971558,4170.151080664975,1513.6124000179132,1.4157193225010596,75,23,34,0.40350877192982454,Gurobi.Optimizer
VLP Schwerin,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,72,57,0,0,15,15,1.0,14,102,40.436556816101074,4503.772226155534,1734.6548612813713,1.2638987150588352,87,32,25,0.5614035087719298,Gurobi.Optimizer
VLP Schwerin,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,67,0,0,24,24,1.0,19,102,48.50992274284363,5359.647408014602,1874.9102326126115,1.0413577085090189,115,37,30,0.5522388059701493,Gurobi.Optimizer
VLP Schwerin,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,75,59,1,0,15,15,0.9833333333333333,18,102,46.10035848617554,4464.406063743286,1457.5333862882694,1.0250404643923083,90,33,27,0.55,Gurobi.Optimizer
VLP Schwerin,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,70,0,0,15,15,1.0,21,102,40.74315881729126,5611.560612818363,2364.9644290581164,1.2341066739902116,100,37,33,0.5285714285714286,Gurobi.Optimizer
VLP Schwerin,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,82,1,0,26,26,0.9879518072289156,19,102,89.45054197311401,5554.11764429607,1909.5519667099652,1.1538093417795445,135,44,39,0.5301204819277109,Gurobi.Optimizer
VLP Schwerin,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,116,86,2,0,28,28,0.9772727272727273,19,102,124.26629590988159,5420.411096883682,1993.2024132448437,1.122688007939923,144,34,54,0.38636363636363635,Gurobi.Optimizer
VLP Schwerin,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,62,42,2,0,18,18,0.9545454545454546,13,102,17.2923264503479,3134.958978107582,1064.748947070474,1.0487305935197755,80,19,25,0.4318181818181818,Gurobi.Optimizer
VLP Schwerin,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,58,44,1,0,13,13,0.9777777777777777,13,102,24.40554118156433,3612.447052630975,1310.0546367260865,1.0416668249164476,71,16,29,0.35555555555555557,Gurobi.Optimizer
VLP Schwerin,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,86,0,0,21,21,1.0,19,102,58.23248100280762,6104.891516850894,2374.5113143507474,1.2541491738837116,128,39,47,0.45348837209302323,Gurobi.Optimizer
VLP Schwerin,2025-06-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,81,61,0,0,20,20,1.0,17,102,40.42142987251282,4519.89593371176,1953.82225981565,1.0594821988129066,101,34,27,0.5573770491803278,Gurobi.Optimizer
VLP Schwerin,2025-06-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,63,1,0,15,15,0.984375,16,102,36.54789924621582,4216.612095943819,1474.362090142532,1.168527666972556,94,28,36,0.4375,Gurobi.Optimizer
VLP Schwerin,2025-06-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,104,82,0,0,22,22,1.0,19,102,67.56430244445801,5682.229122645973,1905.4591989207788,1.1307149418540117,126,47,35,0.573170731707317,Gurobi.Optimizer
VLP Schwerin,2025-06-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,117,85,0,0,32,32,1.0,23,102,79.6481192111969,6171.030787367183,1969.1551648322338,1.1680403444884992,149,26,59,0.3058823529411765,Gurobi.Optimizer
VLP Schwerin,2025-06-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,50,46,0,0,4,4,1.0,13,102,12.412854194641113,3418.64943901397,1359.5991091253072,1.0578240595908943,54,13,33,0.2826086956521739,Gurobi.Optimizer
VLP Schwerin,2025-06-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,68,57,1,0,10,10,0.9827586206896551,16,102,31.935284852981567,4609.920462392313,1829.146610889899,0.994019633597205,78,30,28,0.5172413793103449,Gurobi.Optimizer
VLP Schwerin,2025-06-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,77,55,0,0,22,22,1.0,13,102,39.28862643241882,3736.969347203293,1321.4629426749987,0.9176377158551206,99,34,21,0.6181818181818182,Gurobi.Optimizer
VLP Schwerin,2025-06-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,75,52,0,0,23,23,1.0,12,102,39.96081876754761,4135.675420088661,1588.4330953297595,1.2634834831142103,98,30,22,0.5769230769230769,Gurobi.Optimizer
VLP Schwerin,2025-06-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,63,1,0,15,15,0.984375,14,102,44.31653094291687,4114.162811408751,1360.4085258146954,1.0497474669497822,94,30,34,0.46875,Gurobi.Optimizer
VLP Schwerin,2025-06-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,65,48,0,0,17,17,1.0,15,102,20.386436462402344,3650.7209771035627,1301.648488802354,1.110421405991762,82,27,21,0.5625,Gurobi.Optimizer
VLP Schwerin,2025-06-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,88,73,1,0,14,14,0.9864864864864865,16,102,48.59941005706787,5389.128785821631,2058.038263420679,1.2285846223630874,102,14,60,0.1891891891891892,Gurobi.Optimizer
VLP Schwerin,2025-06-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS,86,60,4,0,22,22,0.9375,15,102,33.402961015701294,4231.5156264014595,1660.4718021446063,1.2421216446768428,108,23,41,0.359375,Gurobi.Optimizer
VLP Schwerin,2025-06-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,57,1,0,20,20,0.9827586206896551,13,102,33.25117826461792,4291.253657898106,1622.3098616971542,1.1001912334443171,98,32,26,0.5517241379310345,Gurobi.Optimizer
VLP Schwerin,2025-06-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,62,1,1,21,22,0.9841269841269841,15,102,43.927894592285156,4647.018963990269,1699.8771013654086,0.9897771438449793,106,31,32,0.49206349206349204,Gurobi.Optimizer
