depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Schwerin,2025-06-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,66,35,25,6,9,0.5833333333333334,6,14,0.5130319595336914,2017.6386746696905,694.3384752828318,1.3031453254906218,72,23,34,0.40350877192982454,Gurobi.Optimizer
VLP Schwerin,2025-06-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,72,36,27,9,15,0.5714285714285714,7,14,1.899989366531372,2311.0254137814127,708.9422684167897,1.033620478993393,81,32,25,0.5614035087719298,Gurobi.Optimizer
VLP Schwerin,2025-06-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,91,29,46,16,24,0.38666666666666666,6,14,2.2667481899261475,2249.2857139302328,1011.9229648653161,1.0867868940523724,107,37,30,0.5522388059701493,Gurobi.Optimizer
VLP Schwerin,2025-06-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,75,37,32,6,15,0.5362318840579711,7,14,1.3799159526824951,2336.351363010284,815.6582267070064,1.2062145356883887,81,33,27,0.55,Gurobi.Optimizer
VLP Schwerin,2025-06-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,85,40,36,9,15,0.5263157894736842,6,14,2.727754831314087,2246.44624820613,886.8373155995173,1.4939634105302704,94,37,33,0.5285714285714286,Gurobi.Optimizer
VLP Schwerin,2025-06-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,109,33,64,12,26,0.3402061855670103,7,14,1.8432016372680664,2183.856430380474,845.1072904764084,1.2908857481589417,121,44,39,0.5301204819277109,Gurobi.Optimizer
VLP Schwerin,2025-06-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,116,37,66,13,28,0.3592233009708738,7,14,2.9077601432800293,2251.45288983774,898.198080927658,0.9814509924337358,129,34,54,0.38636363636363635,Gurobi.Optimizer
VLP Schwerin,2025-06-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,62,29,20,13,18,0.5918367346938775,7,14,1.2001783847808838,1806.0220198140275,684.4702608469074,1.0955609982920909,75,19,25,0.4318181818181818,Gurobi.Optimizer
VLP Schwerin,2025-06-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,58,28,21,9,13,0.5714285714285714,7,14,0.9956951141357422,2131.9535016260315,778.0708955388268,0.9701579612382487,67,16,29,0.35555555555555557,Gurobi.Optimizer
VLP Schwerin,2025-06-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,107,37,58,12,21,0.3894736842105263,6,14,3.2106547355651855,2068.6819355668154,652.3939549229391,1.127809606147391,119,39,47,0.45348837209302323,Gurobi.Optimizer
