setting,subsetting,avg_potential_buses,avg_buses_optimal,num_infeasible_solves,num_timelimit_solves,avg_solve_time_seconds,avg_gap_timelimit_percent
NO_CAPACITY_CONSTRAINT,ALL_LINES,55.0,23.33,0,0,0.11,NaN
NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,55.0,9.5,0,0,0.0,NaN
NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,55.0,7.33,0,0,0.01,NaN
CAPACITY_CONSTRAINT,ALL_LINES,90.0,0.0,0,6,7200.94,8.333333333333332e101
CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,90.0,8.25,0,2,3844.61,19.05
CAPACITY_CONSTRAINT,ONLY_DEMAND,90.0,7.33,0,0,119.76,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES,102.0,0.0,6,0,0.2,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES_WITH_DEMAND,102.0,23.83,0,0,29.22,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,102.0,15.67,0,0,2.48,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES,17.0,0.0,6,0,0.03,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES_WITH_DEMAND,17.0,0.0,6,0,0.01,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,17.0,0.0,6,0,0.02,NaN
